url,price,currency,address,rooms,area_total,area_living,area_kitchen,floor,total_floors,build_year,construction_tech,heating_type,lat,lon,district,commission,description
https://lun.ua/realty/4692693468,,,,,,,,,,,,,,,,,
https://lun.ua/realty/4661904752,,,,,,,,,,,,,,,,,
https://lun.ua/realty/4692392855,,,,,,,,,,,,,,,,,
https://lun.ua/realty/4677008472,,,,,,,,,,,,,,,,,
https://lun.ua/realty/4693824448,34000,UAH,"Круглоуніверситетська вулиця, 2/1",2,51,-,7,1,5,1937,цегляна технологія,централізоване опалення,50.44286420360034,30.523809983507455,Печерський,,"Квартира має роздільне планування та суміщений санвузол. Ремонт євро, квартира після ремонту і це перша здача. Опалення централізоване. Гаряча вода забезпечується газовою колонкою. В квартирі є газ, центральний водопровід, електрика та центральна каналізація. Світло не вимикали, працює інтернет, водопостачання та опалення під час блекаутів. Квартира повністю мебльована та обладнана побутовою технікою. Є плита, холодильник, пральна машина-автомат, сушильна машина, меблі на кухні, душова кабіна. Також є телевізор та кабельне/цифрове ТБ. Оренда квартири можлива з домашніми улюбленцями: Ні. Можливий торг щодо ціни. Будинок типу ""Сталінка"". Квартира розташована в центрі міста. Поруч є метро Хрещатик та Театральна, банки, школи, дитячі садочки та Бессарабський ринок. Квартира двостороння, з окремими кімнатами. Є кондиціонер. Автономність при блекауті: працює інтернет, водопостачання, опалення."
https://lun.ua/realty/4583811775,20000,UAH,"Київська вулиця, 243",2,80,37,20,5,24,2015,монолітно-каркасна,централізоване опалення,50.5166130065918,30.78409194946289,,,"ЗДАЄТЬСЯ ВПЕРШЕ Оренда двокімнатної квартири ЖК Лісовий квартал. Квартира здається вперше . Вулиця Київська 243 квартира на пʼятому поверсі ,має кухню гостьову ,два санвузли ,та дві окремі кімнати. Двостороння ,всі меблі та побутова та побутова техніка є, тепловий лічильник. В будинку генератор три ліфти ,консьєрж Поруч СІЛЬПО ,МакДональдз,зупинки,парк, .20000 гривень"
https://lun.ua/realty/4690433682,2300,USD,"вулиця Саксаганського, 37-К",3,87,60,20,27,30,2016,монолітно-каркасна,централізоване опалення,50.43501281738281,30.512208938598633,ЖК Royal Tower,без комісії,"Елітна 3-кімнатна квартира в ЖК «Royal Tower» Можливе встановлення EcoFlow Пропонується стильна 3-кімнатна квартира в центрі Києва у престижному ЖК «Royal Tower». Планування та інтер’єр • Простора спальня із власною гардеробною • Кухня-вітальня з усією необхідною технікою • Кабінет чи гостьова кімната • Простора ванна кімната • Якісний ремонт у світлих тонах з використанням дорогих європейських матеріалів Інфраструктура та зручності ЖК • Цілодобова охорона та відеоспостереження • Лаунж-хол, ресепшн, гостьова та ігрова кімнати • Сучасні дитячі тренажери та фітнес-центр • Підземний паркінг • Японські швидкісні та безшумні ліфти (із генератором для безперебійної роботи) • Унікальний парк на даху з панорамним майданчиком Локація Чудова транспортна доступність: ✅ Метро: Олімпійська, Площа Українських Героїв ✅ У пішій доступності: ТРЦ, супермаркети, ресторани, школи, дитячі садки, фітнес-клуби Ідеальний варіант для комфортного життя в самому центрі столиці!"
https://lun.ua/realty/4688107650,16500,UAH,"проспект Дмитра Павличка, 8",1,35,13,13,1,9,1998,цегляна технологія,централізоване опалення,50.52300262451172,30.460357666015625,Оболонський,без комісії,"Здається в оренду однокімнатна квартира з новим сучасним ремонтом. Перша здача! 🔹 Планування та оснащення: Простора кімната з великим ліжком Сучасна кухня з електроплитою, мікрохвильовою, холодильником Велика гардеробна кімната Пральна машина Повністю укомплектована меблями 🔹 Особливості: Новий якісний ремонт Ніхто не проживав — перша здача Квартира зроблена з турботою про комфорт орендаря Розташована на першому поверсі Цілодобова охорона в будинку 🔹 Інфраструктура: Спокійний район Магазини поруч Зручна транспортна розв’язка — легко дістатися до будь-якої частини міста без пересадок 📍 Ідеальний варіант для тих, хто шукає чисте, нове та затишне житло."
https://lun.ua/realty/4680145263,1600,USD,"вулиця Андрія Верхогляда, 14",3,142,-,19,12,24,2010,монолітно-каркасна,централізоване опалення,50.411890926281856,30.54560191699929,вулиця Андрія Верхогляда,,"Пропонується в оренду 3-кімнатна квартира площею 148 м² у ЖК «Новопечерські Липки», виконана у класичному стилі. Планування передбачає дві окремі спальні, простору кухню-вітальню, два санвузли та окрему гардеробну кімнату. Ремонт виконано за авторським проєктом, квартира мебльована. Система опалення централізована. Комунікації включають центральну каналізацію, електрику та центральний водопровід. Квартира мебльована. Побутова техніка включає холодильник, варильну панель, мікрохвильову піч, духову шафу та пральну машину. Також є телевізор. Тварин потрібно обговорювати індивідуально. ЖК «Новопечерські Липки» — це престижний житловий квартал у Печерському районі Києва, що займає понад 25 гектарів. Концепція «місто в місті» передбачає розвинену інфраструктуру: ресторани, кафе, супермаркети, фітнес-клуби, салони краси, дитячі садки, школи, спортивні майданчики. Комплекс має закриту територію, високий рівень безпеки та підземний паркінг. Розташований у Печерському районі Києва, що забезпечує зручну транспортну доступність. Квартира має гардеробну кімнату, кондиціонер, ванну, душову кабіну та ліфт. Також є вантажний ліфт."
https://lun.ua/realty/4646941711,18000,UAH,"вулиця Софії Русової, 3-В",2,64,32,14,12,25,2017,панельна технологія,централізоване опалення,50.38899612426758,30.62928581237793,Осокорки,,"Комфортна квартира, чиста, охайна, з новим сучасним ремонтом та гарним видом з вікон на озера і зелену зону! Генератор на воду і на ліфт-Є! До метро 10 хвилин пішки! Супермаркети, кавярні, магазини, салони краси на вибір на території ЖК Патріотика Дві окремі кімнати, простора кухня, є кладовка, балкон, санвузол сумісний. Великий тамбур на дві квартири. Лічильники на все включно з опаленням. Квартира оснащена всіма необхідними меблями та технікою. Тепла підлога; Оптоволокно; Багато місць для зберігання речей, дві вмісткі шафи і кладовка. Зручні спальні місця: двоспальне ліжко з ортопедичним матрацом та два розкладних дивани в кімнаті і на кухні. Якісна техніка: Телевізор Кондиціонер Холодильник Пральна машина Бойлер Мікрохвильовка Електроплита і духовка. Паркінг близько 100метрів Хороші сусіди і приємні власники!"
https://lun.ua/realty/4671815094,25000,UAH,"вулиця Родини Крістерів, 2",1,45,17,18,4,26,2025,цегляна технологія,централізоване опалення,50.49168395996094,30.41649627685547,Подільський,,"Ексклюзивна пропозиція! Перша оренда стильної сучасної квартири в ЖК Діброва парк, за адресою вул Родини Крістерів, 2 на комфортному 4 поверсі Якісний дорогий ремонт! Щойно закінчено ремонтні роботи. Повна комплектація! Функціональна кухня з посудомийною машиною, духовою шафою, варильною поверхнею та мікрохвильовою піччю. В кожній кімнаті є кондиціонер. 46 м кв надихаючого простору! Квартира, в яку хочеться повертатися! Багато зон освітлення та дзеркал з підсвіткою. Санвузол з бойлером на 100 л та підігрівом підлоги Неймовірне оточення зелених зон та безпосередня близькість майбутньої станції метро. Ліквідний низький поверх. Сучасний продуманий ремонт є, де все продумано до деталей"
https://lun.ua/realty/4683440917,11000,UAH,,2,54,-,9,17,18,,,централізоване опалення,,,,,"Квартира має роздільне планування та знаходиться в хорошому стані. Санвузол роздільний, оздоблений імпортним кахлем. Встановлено склопакети, балкон не засклений. Броньовані двері забезпечують безпеку. Система опалення централізована. Всі лічильники встановлені. Квартира здається з меблями. Є гарнітурні меблі, 2 спальних місця, імпортний холодильник, мікрохвильова піч та пральна машина-автомат. Можливе проживання з маленьким песиком (до 10 кг). Поруч розташовані озера «Солнечное», метро Харьковская (пішки), супермаркети, ринок."
https://lun.ua/realty/4679581988,1100,USD,"вулиця Михайла Бойчука, 41-Б",3,67,53,14,19,26,2020,монолітно-каркасна,централізоване опалення,50.40537643432617,30.55299186706543,Печерський,,"Оренда 3-кімнатної квартири з дизайнерським ремонтом у сучасному стилі в ЖК бізнес-класу «Новопечерська Вежа», вул. Бойчука (Кіквідзе), 41Б. Довгострокова оренда. Характеристики: — площа: 67 м² — поверх: 19 — формат: 3 кімнати Планування: — кухня-хол — спальня — кабінет — гардеробна — санвузол Квартира повністю укомплектована меблями та технікою для комфортного проживання: — вбудовані меблі — 2 дивани — ліжко з матрацом — 2 Smart TV (50”) — 2 кондиціонери — тепла підлога — прально-сушильна машина — бойлер — посудомийна машина — мікрохвильова піч — духова шафа — пилосос та праска ЖК «Новопечерська Вежа» — сучасний комплекс закритого типу з цілодобовою охороною та відеоспостереженням. Вхід та доступ до ліфтів здійснюється за пропусками. У будинку є просторий підземний паркінг. Інфраструктура: — метро «Видубичі» (10 хв пішки) — Ботанічний сад — спортклуби преміум-класу — ЖК «Новопечерські Липки» поруч — супермаркети (Сільпо) — аптеки, кав’ярні, магазини — школи та медичні заклади Ідеальний варіант для комфортного життя в престижному районі Києва."
https://lun.ua/realty/4679557573,9000,UAH,"Хорольська вулиця, 1-А",2,54,30,9,8,16,2013,панельна технологія,централізоване опалення,50.43347930908203,30.64114761352539,Дніпровський,,"Сдам 2-ком раздельную на Хорольской 1, 12/16, 54/30/9, хорошее состояние, полностью меблирована, есть вся бытовая техника, интернет заведен. Дом в тихом месте, зеленый двор. Рассмотрим с детками и небольшими животными. Фото немного, но они реальные"
